Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy Level,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Effective To Date - Month,Effective To Date - Year
WC83389,Oregon,No,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal Auto,2,2,Branch,Standard,Medsize,2,2011
FL50705,California,No,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate Auto,2,1,Call Center,Standard,Small,1,2011
ZK25313,Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Standard,Medsize,2,2011
SV62436,Washington,No,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Personal Auto,3,4,Call Center,Standard,Medsize,1,2011
YH23384,Arizona,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Personal Auto,3,1,Agent,Standard,Medsize,1,2011
TZ98966,Nevada,No,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Branch,Standard,Medsize,2,2011
HM55802,California,No,Basic,Bachelor,2011-02-05,Disabled,F,Suburban,Married,Corporate Auto,2,2,Branch,Standard,Medsize,2,2011
FS42516,Oregon,No,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Standard,Large,1,2011
US89481,California,No,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Standard,Small,2,2011
HO30839,Washington,No,Extended,Master,2011-02-12,Disabled,F,Urban,Married,Corporate Auto,1,1,Branch,Sports,Medsize,2,2011
GE62437,Arizona,No,Premium,College,2011-02-02,Employed,F,Suburban,Single,Personal Auto,3,1,Call Center,Standard,Large,2,2011
EJ77678,Oregon,No,Extended,Master,2011-02-07,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,Standard,Small,2,2011
SV85652,Arizona,No,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal Auto,2,4,Call Center,Standard,Small,2,2011
UL64533,Nevada,No,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Corporate Auto,2,2,Agent,Luxury,Medsize,1,2011
PF41800,California,No,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal Auto,3,1,Call Center,Standard,Medsize,1,2011
AO98601,Washington,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate Auto,2,1,Agent,Standard,Small,1,2011
SK67821,Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate Auto,1,3,Web,Standard,Medsize,2,2011
YV55495,Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal Auto,1,1,Branch,Standard,Medsize,1,2011
KY38074,California,No,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Standard,Small,1,2011
DM79012,Oregon,No,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Personal Auto,3,2,Web,Standard,Small,2,2011
CM61827,Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal Auto,2,3,Agent,Standard,Small,1,2011
WC35801,Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal Auto,3,1,Call Center,Standard,Medsize,2,2011
QG25316,Nevada,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate Auto,3,3,Call Center,Standard,Medsize,1,2011
MB98372,Oregon,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate Auto,3,2,Agent,Standard,Medsize,1,2011
IL19217,California,Yes,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Standard,Small,1,2011
SR38658,Arizona,No,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Personal Auto,2,4,Agent,Sports,Medsize,2,2011
DH41343,Washington,No,Basic,College,2011-02-23,Employed,M,Suburban,Married,Special Auto,2,2,Call Center,Standard,Large,2,2011
HG65722,Oregon,No,Premium,Doctor,2011-01-25,Disabled,F,Rural,Married,Personal Auto,2,1,Branch,Sports,Medsize,1,2011
BU27331,Arizona,No,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,3,3,Call Center,Standard,Medsize,1,2011
XM45289,Oregon,No,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Personal Auto,2,4,Agent,Standard,Medsize,1,2011
KP34198,California,No,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Corporate Auto,2,2,Call Center,Standard,Medsize,2,2011
SH90947,Arizona,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal Auto,2,4,Branch,Standard,Medsize,1,2011
WE95729,Oregon,No,Basic,College,2011-01-17,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,Sports,Small,1,2011
PY51963,California,Yes,Basic,Bachelor,2011-01-11,Employed,F,Suburban,Divorced,Corporate Auto,1,1,Web,Sports,Medsize,1,2011
RB69909,Nevada,No,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Special Auto,1,4,Branch,Standard,Medsize,2,2011
XR95069,Washington,No,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Personal Auto,3,4,Agent,Standard,Medsize,2,2011
FR46645,California,No,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Personal Auto,2,1,Branch,Standard,Small,1,2011
SY17488,Arizona,No,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Corporate Auto,3,3,Call Center,Standard,Small,2,2011
AP67935,California,No,Basic,College,2011-02-13,Employed,M,Urban,Married,Special Auto,2,2,Branch,Standard,Medsize,2,2011
FS37417,Arizona,No,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Personal Auto,2,1,Call Center,Sports,Small,2,2011
ML29312,Oregon,No,Extended,High School or Below,2011-01-28,Disabled,F,Suburban,Divorced,Personal Auto,3,1,Call Center,Sports,Medsize,1,2011
UB61619,Oregon,No,Premium,Master,2011-02-28,Disabled,F,Suburban,Divorced,Personal Auto,1,1,Agent,Standard,Medsize,2,2011
CD86811,Arizona,Yes,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal Auto,1,1,Agent,Standard,Medsize,1,2011
RU83859,California,No,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Call Center,Standard,Small,1,2011
FG63582,Oregon,No,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Standard,Small,1,2011
NN71951,California,No,Basic,High School or Below,2011-01-27,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Sports,Medsize,1,2011
WB37082,Arizona,No,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Personal Auto,3,3,Branch,Standard,Large,1,2011
SM52139,Washington,No,Basic,College,2011-01-31,Employed,M,Suburban,Married,Personal Auto,3,3,Web,Standard,Medsize,1,2011
FL82372,Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate Auto,3,1,Agent,Sports,Medsize,1,2011
DP45816,Arizona,No,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Standard,Small,1,2011
GW33762,Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Call Center,Standard,Large,1,2011
RZ33670,California,No,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Personal Auto,3,3,Web,Standard,Medsize,1,2011
PY70169,Oregon,No,Basic,High School or Below,2011-02-24,Employed,M,Rural,Divorced,Personal Auto,3,4,Agent,Sports,Medsize,2,2011
MO91628,Oregon,No,Basic,Master,2011-02-11,Employed,M,Rural,Married,Personal Auto,2,2,Web,Standard,Large,2,2011
HW87852,Oregon,No,Basic,Master,2011-02-12,Medical Leave,M,Suburban,Married,Personal Auto,1,1,Agent,Standard,Medsize,2,2011
HB20453,Oregon,No,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Sports,Medsize,2,2011
BN87372,Oregon,Yes,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Personal Auto,3,2,Branch,Standard,Medsize,1,2011
YX23800,Oregon,No,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Standard,Small,2,2011
DZ87709,Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Personal Auto,1,2,Call Center,Standard,Medsize,2,2011
XW13033,Nevada,No,Basic,College,2011-02-15,Employed,M,Suburban,Married,Personal Auto,1,2,Agent,Standard,Medsize,2,2011
LN31673,Washington,No,Extended,College,2011-02-06,Employed,M,Rural,Married,Personal Auto,3,1,Agent,Standard,Medsize,2,2011
OM82309,California,No,Basic,Bachelor,2011-02-27,Employed,M,Rural,Single,Personal Auto,3,2,Branch,Luxury,Small,2,2011
ZU35962,California,No,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Personal Auto,3,3,Branch,Standard,Large,1,2011
VH85817,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,3,2,Call Center,Standard,Medsize,2,2011
DT85712,California,No,Basic,Doctor,2011-01-27,Employed,M,Suburban,Married,Personal Auto,1,3,Branch,Sports,Medsize,1,2011
YJ88573,Nevada,No,Basic,Master,2011-01-16,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Standard,Large,1,2011
SQ19467,Oregon,No,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Personal Auto,3,2,Agent,Standard,Small,1,2011
HF88410,Washington,No,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Personal Auto,2,1,Call Center,Standard,Medsize,2,2011
ET79815,California,Yes,Extended,College,2011-01-25,Retired,M,Suburban,Married,Personal Auto,1,1,Agent,Standard,Medsize,1,2011
QC35222,California,No,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Corporate Auto,2,3,Web,Standard,Medsize,1,2011
CJ15590,Oregon,No,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Personal Auto,2,3,Branch,Standard,Medsize,2,2011
OI48267,California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Standard,Medsize,2,2011
JY67916,Oregon,No,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,3,2,Branch,Standard,Small,1,2011
OE75231,Washington,Yes,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Corporate Auto,3,2,Call Center,Standard,Medsize,2,2011
CZ33664,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,3,1,Agent,Standard,Medsize,1,2011
WK30175,Oregon,No,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Corporate Auto,1,1,Branch,Standard,Small,2,2011
ON44465,California,No,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Personal Auto,2,1,Agent,Standard,Medsize,1,2011
TV87155,Oregon,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Personal Auto,3,1,Branch,Standard,Large,2,2011
KH48895,Arizona,No,Basic,Master,2011-02-15,Medical Leave,F,Rural,Married,Personal Auto,3,1,Branch,Sports,Medsize,2,2011
NZ30757,California,No,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Personal Auto,2,1,Agent,Standard,Medsize,2,2011
RI22468,Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal Auto,1,3,Web,Standard,Medsize,1,2011
FZ30935,Oregon,No,Extended,College,2011-02-25,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,Standard,Small,2,2011
UG93476,California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Personal Auto,3,1,Agent,Sports,Medsize,1,2011
AB96670,California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,1,1,Branch,Standard,Medsize,1,2011
XK64261,Oregon,No,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Corporate Auto,3,3,Call Center,Standard,Medsize,1,2011
EV68375,California,Yes,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Standard,Medsize,2,2011
UN51653,California,No,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Personal Auto,3,1,Web,Sports,Medsize,2,2011
TO96662,Oregon,No,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Personal Auto,3,1,Call Center,Standard,Small,1,2011
MR52087,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,1,3,Branch,Standard,Medsize,1,2011
DE75225,Oregon,No,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Personal Auto,1,1,Agent,Sports,Medsize,1,2011
EP80820,California,No,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Standard,Medsize,1,2011
GU99037,Oregon,No,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate Auto,1,4,Agent,Standard,Medsize,2,2011
WI57118,California,No,Extended,College,2011-02-27,Employed,M,Suburban,Married,Personal Auto,3,4,Agent,Standard,Small,2,2011
YQ74870,Washington,No,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Corporate Auto,2,2,Web,Standard,Small,2,2011
MQ14219,Arizona,No,Basic,College,2011-02-26,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Sports,Medsize,2,2011
KN20603,Oregon,No,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Standard,Medsize,2,2011
CR48975,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,Suburban,Married,Personal Auto,2,4,Branch,Standard,Medsize,2,2011
JI70886,California,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Agent,Sports,Medsize,2,2011
VF72557,Oregon,Yes,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Personal Auto,3,2,Agent,Sports,Medsize,2,2011
OX28638,Arizona,No,Extended,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Standard,Medsize,1,2011
SK55033,California,No,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Personal Auto,2,3,Agent,Standard,Medsize,1,2011
OO88645,California,No,Extended,College,2011-02-05,Employed,F,Urban,Married,Corporate Auto,2,2,Call Center,Standard,Medsize,2,2011
YT36855,Washington,No,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Personal Auto,2,3,Web,Standard,Medsize,2,2011
CW82151,California,No,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Personal Auto,3,1,Call Center,Sports,Medsize,1,2011
DY22043,Oregon,No,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Standard,Small,1,2011
SH36774,California,No,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Personal Auto,3,3,Web,Luxury,Medsize,1,2011
EM43724,Nevada,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Standard,Medsize,2,2011
FH85960,Oregon,No,Premium,College,2011-01-03,Employed,M,Suburban,Divorced,Personal Auto,2,1,Call Center,Standard,Medsize,1,2011
XA55993,Oregon,No,Extended,Master,2011-02-07,Employed,F,Rural,Single,Personal Auto,3,2,Branch,Standard,Medsize,2,2011
GO36627,Arizona,No,Extended,College,2011-01-13,Employed,M,Urban,Married,Special Auto,2,1,Branch,Standard,Medsize,1,2011
QH48047,Oregon,Yes,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Personal Auto,2,2,Web,Standard,Medsize,1,2011
RB50392,Washington,No,Basic,Master,2011-02-17,Unemployed,F,Rural,Married,Personal Auto,1,2,Agent,Standard,Medsize,2,2011
UH65059,Arizona,No,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Sports,Medsize,1,2011
FV21968,Nevada,No,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Special Auto,2,1,Branch,Standard,Medsize,1,2011
QA87025,Oregon,No,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Personal Auto,3,1,Call Center,Standard,Medsize,1,2011
TQ13499,Arizona,No,Premium,College,2011-01-02,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Standard,Small,1,2011
BU44523,Arizona,No,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Corporate Auto,2,1,Web,Standard,Small,2,2011
MS41162,Arizona,No,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Sports,Medsize,1,2011
PU25891,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Special Auto,2,1,Branch,Sports,Medsize,1,2011
RB81636,Washington,No,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal Auto,2,2,Agent,Standard,Small,1,2011
SX26335,Oregon,No,Extended,College,2011-02-08,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Standard,Medsize,2,2011
AZ95587,Arizona,No,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Special Auto,3,3,Branch,Standard,Small,1,2011
DS81757,Oregon,No,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Personal Auto,1,4,Web,Standard,Large,1,2011
OJ94107,Arizona,No,Premium,Master,2011-02-04,Employed,M,Urban,Married,Personal Auto,2,1,Call Center,Sports,Medsize,2,2011
LP84436,California,No,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Personal Auto,2,3,Branch,Sports,Medsize,1,2011
YV64727,Washington,No,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Corporate Auto,3,3,Agent,Sports,Medsize,2,2011
LM19287,Oregon,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal Auto,1,1,Agent,Standard,Large,2,2011
ZU18643,Nevada,No,Extended,Bachelor,2011-01-18,Employed,M,Urban,Married,Corporate Auto,2,4,Web,Standard,Medsize,1,2011
AZ82578,California,No,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Corporate Auto,3,1,Call Center,Standard,Medsize,1,2011
XC67861,Arizona,No,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Corporate Auto,2,1,Call Center,Standard,Medsize,1,2011
YC43143,Arizona,No,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Personal Auto,3,2,Web,Standard,Medsize,2,2011
EK59571,Oregon,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Branch,Standard,Large,2,2011
GD83998,Washington,No,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Personal Auto,2,4,Branch,Standard,Small,1,2011
WA25797,Washington,Yes,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal Auto,3,2,Agent,Sports,Medsize,2,2011
PD27940,Arizona,No,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Personal Auto,3,4,Agent,Sports,Medsize,2,2011
BS77946,Arizona,No,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Personal Auto,1,1,Branch,Sports,Medsize,2,2011
YM50253,California,No,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Personal Auto,3,2,Branch,Standard,Medsize,2,2011
NR15332,California,No,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Personal Auto,2,2,Web,Standard,Small,2,2011
RC62865,Oregon,No,Extended,College,2011-01-23,Employed,M,Rural,Single,Personal Auto,2,3,Agent,Standard,Medsize,1,2011
CC15295,Oregon,No,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Standard,Small,1,2011
KA61892,Arizona,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal Auto,3,2,Agent,Sports,Medsize,1,2011
OS94884,Arizona,No,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Personal Auto,2,1,Web,Standard,Large,1,2011
ND87334,California,No,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Corporate Auto,3,2,Agent,Standard,Medsize,2,2011
ML93326,Washington,No,Basic,College,2011-02-27,Employed,F,Urban,Married,Personal Auto,1,1,Agent,Sports,Medsize,2,2011
YL74911,California,Yes,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Agent,Sports,Medsize,2,2011
JP69864,Washington,Yes,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Personal Auto,1,1,Branch,Standard,Medsize,1,2011
HL53154,California,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Standard,Medsize,2,2011
RI78966,Oregon,No,Basic,Master,2011-02-21,Medical Leave,M,Suburban,Married,Personal Auto,3,1,Agent,Standard,Small,2,2011
IC13702,California,No,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Standard,Small,1,2011
BE10809,California,Yes,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Personal Auto,1,1,Agent,Standard,Small,1,2011
HT87217,Oregon,No,Extended,High School or Below,2011-01-16,Employed,F,Urban,Divorced,Personal Auto,2,3,Agent,Standard,Medsize,1,2011
TH95618,California,No,Basic,High School or Below,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Standard,Medsize,1,2011
TS19868,California,No,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,1,4,Branch,Standard,Medsize,1,2011
LP45550,Oregon,No,Premium,Doctor,2011-01-15,Disabled,F,Urban,Divorced,Personal Auto,3,2,Agent,Standard,Medsize,1,2011
QR87004,Nevada,No,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Personal Auto,3,3,Agent,Standard,Medsize,1,2011
OE75747,Nevada,No,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Personal Auto,2,3,Agent,Standard,Small,1,2011
DX91392,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,2,2,Call Center,Standard,Medsize,2,2011
AB72731,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,2,2,Call Center,Sports,Medsize,1,2011
RU49126,Washington,No,Basic,College,2011-02-01,Employed,F,Rural,Married,Personal Auto,2,2,Agent,Sports,Medsize,2,2011
IS12901,Arizona,No,Basic,Bachelor,2011-01-27,Employed,F,Urban,Married,Personal Auto,3,2,Call Center,Standard,Medsize,1,2011
IX37561,Washington,No,Basic,College,2011-02-14,Unemployed,F,Suburban,Single,Personal Auto,3,3,Web,Standard,Medsize,2,2011
HH90090,California,No,Basic,Bachelor,2011-01-23,Employed,F,Suburban,Divorced,Personal Auto,2,2,Call Center,Sports,Small,1,2011
IU25463,California,No,Premium,Bachelor,2011-02-18,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Standard,Medsize,2,2011
KC11055,Nevada,No,Extended,Bachelor,2011-01-24,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Luxury,Medsize,1,2011
PD33979,Oregon,No,Basic,High School or Below,2011-02-18,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Standard,Large,2,2011
NK71023,Nevada,No,Extended,Bachelor,2011-01-19,Employed,M,Suburban,Single,Personal Auto,2,4,Agent,Standard,Small,1,2011
AB13432,California,No,Basic,Bachelor,2011-01-04,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Sports,Medsize,1,2011
OZ97704,California,No,Basic,High School or Below,2011-02-07,Employed,F,Suburban,Single,Personal Auto,3,3,Call Center,Sports,Small,2,2011
UF46533,California,No,Basic,College,2011-01-30,Employed,F,Suburban,Single,Corporate Auto,3,2,Branch,Sports,Medsize,1,2011
XP47431,Arizona,Yes,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Married,Personal Auto,1,2,Agent,Sports,Medsize,2,2011
GK73582,California,No,Extended,Bachelor,2011-01-13,Employed,F,Urban,Single,Personal Auto,1,3,Branch,Standard,Medsize,1,2011
RV98763,Oregon,No,Extended,College,2011-02-08,Employed,M,Urban,Married,Personal Auto,3,3,Branch,Standard,Medsize,2,2011
II62831,California,No,Basic,Master,2011-01-29,Employed,M,Urban,Married,Special Auto,2,4,Web,Sports,Medsize,1,2011
XK33449,California,No,Basic,High School or Below,2011-02-05,Unemployed,F,Suburban,Single,Special Auto,3,4,Branch,Standard,Small,2,2011
TR85083,California,No,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Standard,Medsize,1,2011
EO95328,Oregon,No,Basic,Bachelor,2011-01-27,Employed,F,Suburban,Married,Personal Auto,2,4,Agent,Standard,Small,1,2011
EN21086,Arizona,No,Basic,High School or Below,2011-01-09,Unemployed,F,Suburban,Divorced,Personal Auto,2,1,Branch,Standard,Small,1,2011
